Transaction_ID,Date,Customer_ID,Gender,Age,City,Product_Category,Unit_Price,Quantity,Payment_Method,Customer_Rating,Total_Sales
1000,2024-10-02,C-6448,M,40,Berlin,Mouse,61.24,1,Credit Card,5.0,61.24
1001,11/05/2023,C-2076,Male,33,Berlin,Keyboard,40.28,1,Credit Card,3.0,40.28
1002,2024-12-23,C-9117,M,53,Paris,Smartwatch,106.18,5,paypal,5.0,530.9000000000001
1003,2024-03-20,C-4240,F,44,Paris,Smartwatch,349.73,1,PayPal,5.0,349.73
1004,2023-03-10,C-8071,Male,29,Tokyo,Headphones,112.15,1,Debit Card,1.0,112.15
1005,Not Available,C-7224,Male,29,Sydney,Smartphone,875.14,1,Cash,3.0,875.14
1006,2023-01-21,C-640,Non-Binary,22,London,Smartphone,721.36,1,Bank Transfer,5.0,721.36
1007,2024-06-18,C-1881,M,38,Berlin,Headphones,153.14,2,Cash,,306.28
1008,2023-03-17,C-8959,Female,35,Tokyo,Laptop,1807.1,1,Debit Card,3.0,1807.1
1009,15/03/2024,C-8185,Non-Binary,17,Tokyo,Smartwatch,282.26,1,Bank Transfer,1.0,282.26
1010,2024-03-14,C-3140,Male,27,Toronto,Monitor,457.9,1,PayPal,5.0,457.9
1011,2023-01-12,C-7555,Non-Binary,31,Singapore,Keyboard,35.86,1,Debit Card,4.0,35.86
1012,2024-02-25,C-8333,Female,44,Tokyo,Headphones,114.16,1,Cash,3.0,114.16
1013,2024-10-11,C-6557,Non-Binary,20,New York,Tablet,582.7,1,Bank Transfer,5.0,582.7
1014,2023-11-28,C-761,Male,43,Singapore,Laptop,950.44,1,Credit Card,1.0,950.44
1015,2023-09-05,C-3826,M,37,New York,Laptop,876.89,1,Cash,3.0,876.89
1016,2023-05-11,C-1649,Female,17,London,Smartphone,1311.61,1,Bank Transfer,4.0,1311.61
1017,2023-10-27,C-8218,Female,26,Tokyo,Tablet,396.65,1,Bank Transfer,5.0,396.65
1018,2023-04-16,C-1973,Non-Binary,38,Paris,Smartwatch,122.37,10,Cash,5.0,1223.7
1019,2024-11-07,C-6089,Female,30,Singapore,Monitor,497.51,1,PayPal,3.0,497.51
1020,21/12/2023,C-6270,F,47,New York,Headphones,238.24,1,Debit Card,4.0,238.24
